Code,Tube Number,Culture,Name,Ploidity,CaCo3,Filter,Rinse,Comment on filtration,Ca (ug/L),Mg (ug/L),Sr (ug/L),Na (ug/L),Ca sw corr,Ca sw + V corr,PIC mmol/m3,PIC ug/l,PIC blank mean mmol/m3,PIC blank mean ug/l,PIC blank stdev mmol/m3,PIC blank stdev ug/l,PIC blank %
LAX1,41.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.8,NH4OH,,162.37,209.13,1.089,703.25,135.49503478341526,45.16501159447175,0.8864247596079522,10.637097115295425,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,27.37971019234426
LAX2,42.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.8,NH4OH,,211.71,445.48,2.572,3136.07,91.86389667006772,30.62129889002257,0.5228319419967227,6.273983303960672,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,46.42037158765692
LAX3,43.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.8,NH4OH,,153.66,400.25,1.855,2280.64,66.504478248771,22.168159416257,0.3115034551525833,3.738041461830999,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,77.91262865285393
CAX1,53.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.8,NH4OH,,625.42,321.79,4.52,2372.71,534.7459883127724,178.2486627709241,4.213516039019261,50.56219246823113,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,5.760047618338546
CAX2,54.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.8,NH4OH,,1144.3,458.65,7.126,2203.04,1060.1099916519802,353.3699972173267,8.591549400179327,103.09859280215194,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,2.8248749899380874
CAX3,55.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.8,NH4OH,Weird filtration.,1547.04,18200.85,8.204,1007.95,1508.5208088303496,502.8402696101165,12.32830620999907,147.93967451998884,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,1.9686445657635874
CAX0,55.5,RCC1164,Calcidiscus leptoporus,2n,Yes,0.8,NH4OH,Weird filtration.,1562.99,17892.34,8.53,992.11,1525.076140432242,508.358713477414,12.466267306681505,149.59520768017808,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,1.9468580633094732
NAX1,65.0,RCC1129,Calcidiscus leptoporus,n,No,0.8,NH4OH,,80.13,445.47,1.088,1360.09,28.153645301920044,9.384548433973348,-0.008086819404507978,-0.09704183285409584,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,-3001.1864753471405
NAX2,66.0,RCC1129,Calcidiscus leptoporus,n,No,0.8,NH4OH,,139.07,484.15,2.292,3149.81,18.69881736388089,6.23293912129363,-0.08687705222150088,-1.0425246266580106,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,-279.36091758161257
NAX3,67.0,RCC1129,Calcidiscus leptoporus,n,No,0.8,NH4OH,,134.05,258.89,1.546,2024.26,56.69213709303405,18.897379031011347,0.2297339455214421,2.756807346257305,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,105.64417448321291
UAX1,77.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.8,NH4OH,,348.12,856.86,2.437,2008.72,271.35600408125407,90.45200136041802,2.0185995037566093,24.22319404507931,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,12.023213609345312
UAX2,78.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.8,NH4OH,,213.18,50914.69,1.487,1515.78,155.25389295983675,51.75129765327891,1.051081911078131,12.612982932937573,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,23.090543914402947
UAX3,79.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.8,NH4OH,,277.14,1164.54,2.013,2108.76,196.55293757536404,65.51764585845467,1.3952406162075253,16.7428873944903,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,17.394887120870827
SAX1,28.0,MIR 02,Syracosphaera pulchra,n,Yes,0.8,NH4OH,,332.11,478.44,3.663,3751.2,188.87662741799835,62.95887580599945,1.3312713648961443,15.975256378753738,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,18.230733166319947
SAX2,29.0,MIR 02,Syracosphaera pulchra,n,Yes,0.8,NH4OH,,359.68,815.72,2.939,2298.94,271.8987754415475,90.6329251471825,2.0231225984257213,24.27747118110866,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,11.996333313794096
SAX3,30.0,MIR 02,Syracosphaera pulchra,n,Yes,0.8,NH4OH,,462.57,650.84,5.183,5534.18,251.25648275862068,83.75216091954022,1.8511034927346637,22.213241912815967,0.24270053025384158,2.9124063630460997,0.027595482515577866,0.33114579018693446,13.111127022687228
LAY1,47.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.8,K2B4O7,,258.88,344.41,2.458,2574.95,160.47731008255266,53.49243669418422,1.1601885699120884,13.922262838945063,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,15.266686126371532
LAY2,48.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.8,K2B4O7,Fell on possibly dirty surface.,356.82,480.0,3.519,3806.1,211.36844634078471,70.45614878026157,1.584281372064022,19.011376464768265,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,11.179980435657072
LAY3,49.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.8,K2B4O7,,298.28,382.77,2.865,3083.53,180.4417326778592,60.14724422595305,1.3265587582063092,15.918705098475709,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,13.352016738558268
CAY1,59.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.8,K2B4O7,,1010.49,43.44,5.359,146.28,1004.8998543734348,334.96661812447826,8.19704310566944,98.36451726803327,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,2.160807807879056
CAY2,60.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.8,K2B4O7,,1546.13,132.74,8.642,971.28,1509.0121667748815,503.0040555916272,12.397979042348164,148.77574850817794,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,1.4286388679761013
CAY3,61.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.8,K2B4O7,,899.83,94.96,4.99,594.38,877.1155430850571,292.371847695019,7.132173844932958,85.58608613919549,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,2.483427231213011
NAY1,71.0,RCC1129,Calcidiscus leptoporus,n,No,0.8,K2B4O7,,58.53,133.75,0.744,847.05,26.15966329654021,8.719887765513402,0.04087484669531791,0.49049816034381477,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,433.32846912623637
NAY2,72.0,RCC1129,Calcidiscus leptoporus,n,No,0.8,K2B4O7,,212.05,618.9,3.561,4937.58,23.35850941471108,7.786169804903693,0.01753189768007521,0.21038277216090195,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,1010.2862261386257
NAY0,72.5,RCC1129,Calcidiscus leptoporus,n,No,0.8,K2B4O7,,209.62,625.54,3.493,5002.03,18.465528244133225,6.155176081377741,-0.02324294540807359,-0.2789153448968835,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,-762.0477711959538
NAY3,73.0,RCC1129,Calcidiscus leptoporus,n,No,0.8,K2B4O7,,142.17,367.13,2.192,3090.08,24.081421946016132,8.027140648672045,0.023556168774284014,0.2826740252914077,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,751.9149193559838
UAY1,83.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.8,K2B4O7,Leaked few drops?,304.9,475.65,2.293,1824.7,235.1683981077822,78.3894660359274,1.7826143034556678,21.391371641468016,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,9.936100428407785
UAY2,84.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.8,K2B4O7,,101.97,200.98,0.786,700.22,75.2108273815045,25.07027579383483,0.44963454740335373,5.395614568840244,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,39.39251297868487
UAY3,85.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.8,K2B4O7,,488.74,671.95,4.732,4161.95,329.6895037566089,109.89650125220297,2.5702901838625567,30.843482206350682,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,6.891142041259436
SAY1,34.0,MIR 02,Syracosphaera pulchra,n,Yes,0.8,K2B4O7,,369.91,611.86,4.139,4748.51,188.59599327165688,62.86533109055229,1.39451092982129,16.734131157855483,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,12.701395425076786
SAY0,34.2,MIR 02,Syracosphaera pulchra,n,Yes,0.8,K2B4O7,,373.03,603.49,4.329,4792.06,190.0531084945332,63.35103616484439,1.4066535566785925,16.879842680143113,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,12.591753427954252
SAY2,35.0,MIR 02,Syracosphaera pulchra,n,Yes,0.8,K2B4O7,,147.58,92.47,0.87,137.94,142.3129890664424,47.43766302214747,1.0088192281111694,12.105830737334033,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,17.557392098299562
SAY3,36.0,MIR 02,Syracosphaera pulchra,n,Yes,0.8,K2B4O7,Rinsed with MqH2O and K2B4O7.,270.82,338.41,2.584,2142.66,189.00606896551724,63.00202298850574,1.3979282272701266,16.775138727241515,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,12.670346301569538
SAY4,37.0,MIR 02,Syracosphaera pulchra,n,Yes,0.8,K2B4O7,Additional 0.8 K2B4O7.,210.86,223.56,1.938,1499.07,153.62048948696383,51.20682982898794,1.1030483982821813,13.236580779386175,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,16.05753181078513
SAY2,35.0,MIR 02,Syracosphaera pulchra,n,Yes,0.8,K2B4O7,,127.46,92.41,0.781,251.38,117.86147014297728,39.28715671432576,0.805056570415627,9.66067884498752,0.1771223474425171,2.125468169310206,0.05666062902604984,0.6799275483125985,22.00122996960003
LBX1,44.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.4,NH4OH,,192.57,280.04,1.726,1665.53,128.92113996846302,42.973713322821006,0.9357100299910335,11.228520359892402,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,14.81578679677294
LBX2,45.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.4,NH4OH,,238.84,261.53,1.837,1362.09,186.78721454410535,62.262404848035125,1.4179273181213865,17.015127817456637,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,9.777144519873303
LBX3,46.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.4,NH4OH,,146.08,4309.43,1.505,1693.22,81.37295612651889,27.124318708839628,0.539475164641499,6.473701975697987,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,25.697717367882582
